county,tract,bg,state,pumano,stateabb,countyname
int,int,int,int,int,text,text
33,9800,2008,53,1805,WA,King
33,9800,4006,53,1805,WA,King
33,9800,4018,53,1805,WA,King
33,9800,4015,53,1805,WA,King
33,9800,3012,53,1805,WA,King
33,11402,1000,53,1805,WA,King
33,11402,2012,53,1805,WA,King
33,11402,2008,53,1805,WA,King
33,26600,1017,53,2005,WA,King
33,6200,1054,53,1804,WA,King
33,21300,2003,53,2001,WA,King
33,21300,2005,53,2001,WA,King
33,21300,2013,53,2001,WA,King
33,4000,1031,53,1802,WA,King
33,11700,3021,53,1805,WA,King
33,20401,1015,53,2001,WA,King
33,20402,1008,53,2001,WA,King
33,21500,4013,53,2001,WA,King
33,20401,3014,53,2001,WA,King
33,26400,4011,53,2005,WA,King
33,11200,1011,53,1805,WA,King
33,29700,4056,53,2008,WA,King
33,29700,3023,53,2006,WA,King
33,4800,3009,53,1801,WA,King
33,990100,16,53,1803,WA,King
33,990100,27,53,1803,WA,King
33,8100,2000,53,1803,WA,King
33,5302,2003,53,1802,WA,King
33,27300,3003,53,2005,WA,King
33,900,2012,53,1802,WA,King
33,11002,2016,53,1805,WA,King
33,29700,4027,53,2006,WA,King
33,28402,1007,53,2005,WA,King
33,26802,4017,53,2005,WA,King
33,26802,3005,53,2005,WA,King
33,9300,3108,53,1805,WA,King
33,10001,1011,53,1805,WA,King
33,7800,2016,53,1804,WA,King
33,10402,4019,53,1805,WA,King
33,11700,3002,53,1805,WA,King
33,11700,3006,53,1805,WA,King
33,3100,5009,53,1801,WA,King
33,3100,4015,53,1801,WA,King
33,3100,5010,53,1801,WA,King
33,3100,4027,53,1801,WA,King
33,3100,5025,53,1801,WA,King
33,3100,5016,53,1801,WA,King
33,3100,5022,53,1801,WA,King
33,28801,2018,53,2005,WA,King
33,28801,2021,53,2005,WA,King
33,26400,3008,53,2005,WA,King
33,9300,3094,53,1805,WA,King
33,27200,1027,53,2005,WA,King
33,28300,1007,53,2005,WA,King
33,29802,3004,53,2006,WA,King
33,7300,2007,53,1803,WA,King
33,10500,4000,53,1805,WA,King
33,9800,3001,53,1805,WA,King
33,9800,3018,53,1805,WA,King
